DBID,2SD1K-1,2SD1K-2,2SD1K-3,2SD7K-1,2SD7K-2,2SD7K-3,0.5SD1K-1,0.5SD1K-2,0.5SD1K-3,0.5SD7K-1,0.5SD7K-2,0.5SD7K-3
WBGene00016681,0,0,0,0,0,0,0,2,0,1,0,0
WBGene00016682,2,4,3,0,2,3,5,1,1,3,1,2
WBGene00016683,1,4,1,4,2,2,13,2,2,17,5,4
WBGene00016684,31,26,31,36,33,30,67,43,35,55,29,25
WBGene00016685,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016686,0,2,1,0,0,0,1,0,0,0,0,0
WBGene00016687,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00016688,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016689,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016690,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016691,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016692,0,0,0,0,1,3,0,0,0,0,1,0
WBGene00016693,0,0,0,1,1,0,1,3,0,0,0,0
WBGene00016694,2,0,0,2,0,0,1,0,0,0,0,0
WBGene00016695,87,174,129,80,109,100,19,88,75,1,30,55
WBGene00016696,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00016697,3,3,5,4,2,2,7,6,2,1,1,2
WBGene00016698,4,2,1,2,3,6,88,35,28,125,52,42
WBGene00016699,0,2,2,1,1,6,1,3,0,1,0,1
WBGene00016700,2,3,3,1,0,5,5,2,2,6,1,7
WBGene00016701,199,272,233,181,203,267,237,229,218,158,202,185
WBGene00016702,508,529,509,453,440,490,502,557,660,494,432,413
WBGene00016703,6,8,6,15,7,14,9,14,9,7,4,8
WBGene00016704,374,294,354,236,334,349,161,212,233,132,166,154
WBGene00016705,75,90,85,61,87,119,138,70,121,181,103,103
WBGene00016706,31,25,32,27,39,30,64,35,35,36,38,23
WBGene00016707,7,2,0,7,2,0,115,50,50,193,62,43
WBGene00016708,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016709,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016710,240,266,326,181,234,293,80,156,166,61,123,119
WBGene00016711,4,5,15,8,5,4,2,0,0,0,2,0
WBGene00016712,18,22,11,17,28,20,17,15,17,8,19,18
WBGene00016713,27,21,44,27,27,41,24,30,19,12,28,20
WBGene00016714,10,22,32,30,27,57,34,18,24,113,75,36
WBGene00016716,849,736,529,867,974,934,1305,1091,1231,591,705,680
WBGene00016717,37,46,34,32,13,37,79,135,72,52,45,41
WBGene00016718,0,1,0,0,0,0,1,0,0,0,1,0
WBGene00016719,68,44,53,33,24,22,134,126,116,65,52,32
WBGene00016720,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016721,321,318,237,332,292,282,457,357,331,599,422,373
WBGene00016722,485,482,314,588,454,449,790,908,824,859,742,657
WBGene00016724,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00016725,239,285,281,185,234,327,76,125,157,60,117,80
WBGene00016727,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016728,36,32,34,47,41,34,116,64,78,104,33,42
WBGene00016729,2,0,0,0,0,0,3,0,0,0,0,0
WBGene00016730,1,0,0,0,0,0,21,15,8,55,8,12
WBGene00016731,0,0,0,1,0,0,4,0,0,8,0,2
WBGene00016732,1,0,0,1,0,1,4,0,0,4,0,2
WBGene00016733,7,10,4,6,7,2,48,3,3,29,8,10
WBGene00016734,10,13,2,6,3,3,24,21,17,17,15,9
WBGene00016735,114,153,152,108,137,166,240,142,116,354,198,126
WBGene00016736,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016737,1,2,0,0,4,0,1,0,0,0,0,0
WBGene00016738,10,3,10,6,20,4,21,11,4,14,11,13
WBGene00016739,2181,2272,2180,2126,2208,2670,2216,2090,2024,2336,2079,2060
WBGene00016740,292,333,306,238,307,312,262,453,377,254,235,246
WBGene00016741,855,980,960,784,851,1097,676,956,862,451,789,729
WBGene00016742,1,0,0,5,0,0,139,64,48,155,54,32
WBGene00016743,0,0,1,1,0,0,0,2,0,0,1,0
WBGene00016744,5,7,10,1,1,6,7,10,0,0,3,0
WBGene00016745,91,118,86,97,71,100,38,71,55,22,54,26
WBGene00016746,446,561,477,413,470,504,377,634,450,420,450,418
WBGene00016747,3,3,1,2,6,3,6,6,8,2,5,6
WBGene00016748,3,4,1,5,4,0,10,11,3,6,9,6
WBGene00016749,304,264,265,301,214,215,773,448,414,1318,476,402
WBGene00016750,862,797,714,712,673,916,829,859,902,655,713,667
WBGene00016751,44,35,56,33,32,54,99,68,93,92,108,72
WBGene00016752,0,15,0,44,4,9,827,452,257,1034,462,273
WBGene00016753,4,1,0,9,2,3,105,44,30,158,61,26
WBGene00016754,149,205,227,173,166,180,122,188,179,94,145,149
WBGene00016755,2,0,0,0,3,1,6,7,1,5,2,4
WBGene00016756,73,81,84,62,61,116,210,92,111,263,132,110
WBGene00016757,16,15,22,14,25,25,54,12,26,56,29,13
WBGene00016758,20,13,13,19,9,19,51,21,12,36,22,22
WBGene00016759,22,21,22,17,9,15,49,75,38,54,26,25
WBGene00016760,73,67,73,76,69,70,160,176,84,90,95,94
WBGene00016761,1,0,0,0,0,0,4,0,1,0,0,0
WBGene00016762,52,58,57,49,48,40,78,61,28,191,64,69
WBGene00016763,90,95,64,84,79,56,208,286,146,177,111,111
WBGene00016764,154,149,153,116,168,155,87,308,171,74,160,118
WBGene00016765,0,1,0,1,0,1,44,18,10,71,11,15
WBGene00016766,7,10,4,10,13,6,19,35,25,27,22,27
WBGene00016767,45,58,59,45,61,61,34,129,77,47,44,56
WBGene00016768,90,71,49,70,65,65,165,129,123,133,105,91
WBGene00016769,236,201,279,161,178,260,208,234,238,319,141,125
WBGene00016770,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016772,1,0,0,0,0,3,1,0,0,0,2,1
WBGene00016773,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016775,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016776,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016777,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00016778,4,3,4,0,2,1,8,7,2,15,1,0
WBGene00016779,12,20,18,2,19,18,0,11,9,0,1,2
WBGene00016781,358,481,142,460,483,285,769,206,95,375,413,452
WBGene00016782,85,92,32,87,115,70,39,23,24,23,64,74
WBGene00016783,258,413,451,416,461,411,37,43,27,285,140,86
WBGene00016785,57,55,108,28,28,56,3,24,5,2,4,5
WBGene00016786,4,7,7,7,5,16,0,4,1,1,5,5
WBGene00016788,244,468,625,480,872,772,48,173,64,1011,471,506
WBGene00016789,0,2,0,3,1,0,0,0,1,2,0,0
WBGene00016790,742,861,730,699,780,833,685,1369,998,624,706,820
WBGene00016791,156,183,166,132,141,182,143,230,185,99,146,155
WBGene00016792,515,532,593,468,510,564,347,513,386,264,406,383
WBGene00016793,571,619,550,532,530,575,426,510,527,335,459,447
WBGene00016794,791,921,859,633,779,950,505,702,795,345,540,589
WBGene00016795,11,9,6,12,10,1,29,30,27,17,7,9
WBGene00016796,400,486,556,372,430,620,435,450,408,281,352,336
WBGene00016797,26,11,22,16,15,27,24,21,21,23,21,16
WBGene00016798,3,5,8,2,4,4,0,1,2,0,0,3
WBGene00016799,524,526,515,486,503,636,418,594,491,294,465,440
WBGene00016800,6,1,0,6,1,4,97,32,21,103,32,27
WBGene00016801,20,16,7,15,14,21,42,59,33,35,24,28
WBGene00016803,2494,2672,2616,2293,2314,2949,1703,2546,2302,1229,2062,1980
WBGene00016804,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016805,3,5,4,3,2,3,9,1,1,15,1,1
WBGene00016806,14,9,5,6,16,14,20,13,12,11,10,1
WBGene00016807,3,1,0,0,1,0,29,17,14,62,17,5
WBGene00016808,549,594,545,504,581,610,423,567,560,368,483,465
WBGene00016809,33,29,15,13,10,13,9,22,12,5,10,6
WBGene00016810,525,571,543,457,454,597,494,452,491,421,437,421
WBGene00016811,451,460,476,352,423,437,306,379,351,171,316,298
WBGene00016812,470,361,376,411,355,436,440,413,475,380,387,379
WBGene00016813,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016815,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016816,599,636,644,490,543,630,409,611,589,280,484,453
WBGene00016817,22,25,10,26,7,16,48,28,12,22,18,25
WBGene00016818,0,0,0,0,0,0,2,0,0,0,0,0
WBGene00016820,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016821,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016822,244,281,275,251,245,220,143,262,191,57,175,207
WBGene00016823,174,211,318,193,215,266,39,114,140,11,71,94
WBGene00016824,360,346,410,316,364,419,118,294,280,53,212,202
WBGene00016825,10,0,4,6,2,0,220,89,49,342,81,47
WBGene00016826,0,0,0,1,0,0,36,14,16,59,12,13
WBGene00016827,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00016828,1,0,1,0,0,0,0,0,0,2,0,0
WBGene00016829,2,3,0,2,1,2,0,0,1,0,0,0
WBGene00016830,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016831,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016832,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00016833,0,0,0,1,3,1,0,0,0,0,1,0
WBGene00016834,0,1,0,0,0,0,0,0,0,0,1,0
WBGene00016835,0,2,2,2,1,0,0,1,2,0,0,0
WBGene00016836,885,991,1154,818,858,1161,700,886,713,379,641,689
WBGene00016837,1502,1401,1564,1368,1399,1722,1283,1438,1525,1009,1269,1163
WBGene00016838,105,120,99,99,125,122,163,109,118,116,79,74
WBGene00016839,4,1,0,6,0,0,107,35,37,193,37,23
WBGene00016840,13,7,12,6,10,9,22,19,6,12,9,9
WBGene00016841,16,44,40,15,12,26,19,4,18,11,13,8
WBGene00016842,9,9,8,5,6,12,22,16,20,18,14,14
WBGene00016843,2,0,0,3,0,0,57,21,12,63,24,17
WBGene00016844,1602,1779,1284,1646,1535,1847,1496,1450,1677,1668,1715,1596
WBGene00016845,429,495,242,774,826,474,104,110,73,592,757,524
WBGene00016846,41,59,36,42,48,68,59,102,90,46,52,49
WBGene00016847,0,1,0,0,0,0,0,0,1,0,0,0
WBGene00016848,134,123,81,98,107,87,322,161,137,194,133,100
WBGene00016849,35,41,41,24,24,29,37,39,35,46,29,30
WBGene00016850,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016851,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016852,0,0,0,0,0,0,5,0,0,0,0,1
WBGene00016853,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016854,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016855,0,0,0,0,1,0,0,1,1,0,1,0
WBGene00016856,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016857,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00016858,0,0,0,0,0,0,1,2,0,0,0,0
WBGene00016859,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016860,83,87,65,80,77,89,89,84,84,85,69,50
WBGene00016861,1,0,0,0,0,0,2,1,0,0,1,0
WBGene00016862,161,194,168,274,431,291,295,446,297,970,1037,526
WBGene00016863,10,11,21,3,4,11,3,6,8,2,4,3
WBGene00016864,22,35,39,16,30,34,4,24,13,1,2,17
WBGene00016865,86,60,59,51,42,42,108,117,107,53,57,42
WBGene00016866,371,255,225,236,206,147,555,490,506,245,261,270
WBGene00016867,508,567,620,499,585,601,437,520,423,405,415,391
WBGene00016868,3,3,1,1,4,2,15,4,3,6,2,11
WBGene00016869,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00016870,8,4,2,2,2,3,7,8,6,15,2,5
WBGene00016871,159,167,226,133,156,156,95,102,100,77,59,72
WBGene00016872,26,22,14,24,17,27,8,27,33,5,8,13
WBGene00016873,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016874,51,50,44,32,32,90,104,106,88,88,57,49
WBGene00016877,52,53,35,58,45,35,46,23,12,151,31,21
WBGene00016879,153,140,154,112,163,165,198,157,123,208,139,141
WBGene00016880,41,45,70,25,53,42,0,10,17,0,2,6
WBGene00016881,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00016882,2,5,1,3,0,1,3,3,0,0,0,0
WBGene00016883,23,27,27,18,22,24,82,43,69,67,37,16
WBGene00016884,14,14,16,19,21,15,67,48,37,46,35,32
WBGene00016885,3,9,16,7,10,12,4,11,13,5,4,6
WBGene00016886,40,37,50,30,46,64,1,2,26,0,6,4
WBGene00016888,1492,1654,1541,1589,1699,1897,1056,1047,1043,1602,1453,1373
WBGene00016889,782,779,980,640,708,1029,789,819,711,538,720,655
WBGene00016890,34,21,29,24,29,23,67,64,58,81,44,39
WBGene00016891,5,9,10,3,8,7,0,2,1,0,0,1
WBGene00016892,369,485,476,388,619,744,61,168,126,765,612,591
WBGene00016893,156,165,82,173,147,153,164,179,164,201,164,177
WBGene00016894,384,441,161,414,348,259,786,374,392,289,361,380
WBGene00016895,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016896,36,30,25,40,37,38,91,51,78,83,42,49
WBGene00016898,224,186,107,294,236,149,1474,264,134,412,518,485
WBGene00016899,3,3,0,0,1,4,1,0,1,0,1,2
WBGene00016900,1,8,4,10,9,6,4,13,5,7,9,1
WBGene00016901,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016902,202,197,180,163,201,202,192,207,181,107,140,127
WBGene00016903,22,36,40,15,27,32,37,35,30,20,24,13
WBGene00016904,0,0,0,0,0,0,1,0,0,2,0,0
WBGene00016905,201,215,239,154,185,244,141,171,180,84,151,146
WBGene00016906,183,186,218,137,151,220,166,136,149,169,117,113
WBGene00016907,1568,1645,1321,1356,1388,1715,1900,1414,1772,1565,1284,1314
WBGene00016909,3,0,7,0,1,3,5,6,6,8,2,0
WBGene00016910,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016911,15,8,12,16,11,17,35,20,11,22,27,15
WBGene00016912,15,14,23,25,22,25,103,84,62,94,59,58
WBGene00016913,1083,1274,1866,924,1312,1730,840,683,695,1051,735,589
WBGene00016914,35,24,38,38,19,11,49,37,33,72,35,39
WBGene00016915,1,1,0,0,1,2,9,1,0,0,1,4
WBGene00016916,13,6,2,4,5,10,18,15,8,14,22,5
WBGene00016917,2,2,2,2,0,4,3,3,1,0,0,2
WBGene00016918,696,617,419,711,668,624,1205,900,873,1610,1030,918
WBGene00016919,7,6,4,7,5,5,14,8,3,6,7,4
WBGene00016920,59,93,76,115,100,131,100,131,94,318,255,215
WBGene00016921,2,0,0,0,0,1,2,0,1,2,1,1
WBGene00016922,0,0,1,12,6,2,1,0,0,0,2,0
WBGene00016923,2,0,2,1,3,1,4,2,0,13,7,2
WBGene00016924,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016925,0,0,0,0,1,2,0,0,0,0,1,0
WBGene00016926,7,7,7,7,3,5,5,12,3,2,2,3
WBGene00016927,7,5,7,13,7,11,0,0,0,0,1,0
WBGene00016928,0,0,1,0,0,0,0,0,0,0,2,0
WBGene00016929,0,2,3,0,0,1,2,3,6,0,0,0
WBGene00016930,250,280,232,224,235,274,213,295,308,183,215,234
WBGene00016931,2,2,0,1,6,1,9,4,2,3,0,0
WBGene00016932,1,1,1,0,3,0,3,2,0,1,1,0
WBGene00016933,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00016934,291,231,261,296,249,230,270,290,251,417,242,194
WBGene00016935,33,34,29,15,25,46,16,24,25,10,30,24
WBGene00016937,265,315,436,228,307,382,139,207,212,95,148,167
WBGene00016938,0,1,1,1,0,0,0,0,0,2,2,1
WBGene00016939,186,208,324,136,196,275,76,199,155,56,97,103
WBGene00016940,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016941,0,0,0,0,0,0,4,2,1,0,0,0
WBGene00016942,46,49,44,53,45,37,179,103,91,298,104,88
WBGene00016943,16879,16117,13554,12632,14628,15638,11165,15643,13782,13474,11076,14067
WBGene00016944,1012,1017,1104,839,925,1147,816,1106,852,490,839,843
WBGene00016945,1,3,0,2,3,4,9,1,6,4,1,5
WBGene00016946,0,0,0,3,0,0,61,27,21,84,38,18
WBGene00016947,345,433,367,329,355,439,257,485,389,214,277,343
WBGene00016948,1,4,9,2,5,9,0,0,1,0,0,0
WBGene00016949,5,0,3,0,0,2,11,6,1,9,2,3
WBGene00016950,1,0,0,0,0,0,7,2,0,12,5,1
WBGene00016951,3,6,14,14,8,1,15,8,7,14,6,5
WBGene00016953,23,14,9,15,18,13,118,37,35,175,54,23
WBGene00016954,0,0,0,3,0,1,86,23,17,133,31,26
WBGene00016955,1180,1335,1257,1157,1170,1524,1085,1355,1218,947,1134,1034
WBGene00016956,1,2,0,1,0,0,30,17,3,32,11,2
WBGene00016957,188,211,228,212,245,314,252,296,264,245,288,278
WBGene00016958,28,34,29,51,54,41,48,48,32,47,35,26
WBGene00016959,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016960,651,679,687,623,623,878,527,746,577,433,603,564
WBGene00016961,1905,2026,1713,1764,2057,2170,1494,2035,1966,1822,1949,1773
WBGene00016962,0,5,1,0,0,0,6,2,1,9,3,3
WBGene00016963,2,0,0,3,0,1,41,21,17,78,26,13
WBGene00016964,599,713,693,564,625,805,479,691,618,463,587,592
WBGene00016965,298,346,327,294,359,372,282,412,378,235,309,227
WBGene00016966,418,416,442,401,368,446,251,505,448,244,349,333
WBGene00016967,539,493,538,465,438,620,530,547,565,457,481,428
WBGene00016968,143,125,170,97,141,240,213,174,141,150,103,66
WBGene00016970,179,291,317,241,301,406,66,141,131,179,183,162
WBGene00016971,1344,1641,1616,1215,1547,1783,932,1197,1314,604,975,1029
WBGene00016972,2,3,3,5,4,2,2,7,6,4,1,1
WBGene00016973,0,1,1,2,1,0,6,0,2,3,1,2
WBGene00016974,14,16,8,17,17,19,63,28,27,30,28,18
WBGene00016975,68,32,31,43,45,51,127,164,89,67,52,43
WBGene00016976,5,0,1,6,2,3,17,11,9,5,2,2
WBGene00016977,3464,3419,3700,2952,3093,4150,4039,3385,3401,3143,2975,2845
WBGene00016978,195,177,191,169,185,266,164,170,186,148,140,147
WBGene00016979,17,21,20,10,19,38,10,14,7,5,9,7
WBGene00016980,143,169,165,112,132,179,146,132,121,129,106,84
WBGene00016981,1851,2232,2007,1877,2023,2390,1472,1822,1853,1250,1636,1651
WBGene00016982,10,4,3,3,4,8,5,3,5,7,2,0
WBGene00016983,105,129,120,122,126,140,37,71,71,34,56,66
WBGene00016984,1,1,8,4,9,8,8,12,5,4,1,6
WBGene00016985,0,0,0,0,0,2,0,0,0,0,0,0
WBGene00016987,309,395,317,219,311,334,156,249,240,100,181,183
WBGene00016988,11,16,8,13,8,9,21,16,22,26,16,15
WBGene00016989,264,318,256,278,285,283,235,269,258,235,235,250
WBGene00016990,616,678,639,610,554,601,453,591,614,455,588,554
WBGene00016992,246,282,303,210,273,268,163,271,233,90,197,199
WBGene00016993,126,110,121,115,70,141,149,146,146,136,111,100
WBGene00016995,1451,1435,1417,1427,1534,1987,937,1127,1042,743,1358,1237
WBGene00016996,46,67,78,39,71,71,13,9,16,19,21,29
WBGene00016997,129,157,131,247,305,292,183,192,100,612,433,297
WBGene00016998,5,11,12,16,9,12,14,14,9,22,14,6
WBGene00016999,0,1,0,1,1,0,1,2,4,3,0,0
WBGene00017000,0,1,0,0,0,0,0,1,0,1,0,0
WBGene00017001,6,7,3,2,4,3,2,1,3,8,3,1
WBGene00017002,123,144,128,131,147,159,94,223,160,60,103,89
WBGene00017003,554,651,748,480,559,754,423,593,544,292,444,474
WBGene00017004,1144,1230,1697,982,1107,1533,897,1043,965,581,755,761
WBGene00017005,279,298,268,241,296,356,206,282,296,151,209,222
WBGene00017006,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017007,162,219,175,144,160,202,175,234,188,114,157,186
WBGene00017009,0,0,0,0,2,1,3,0,4,2,0,1
WBGene00017010,130,173,205,112,141,191,107,122,102,97,113,115
WBGene00017011,812,905,924,763,814,935,460,889,789,358,663,734
WBGene00017012,857,788,651,796,743,753,1515,1296,1293,1270,1021,904
WBGene00017013,22,9,23,6,10,15,24,13,10,39,14,9
WBGene00017014,0,0,0,0,0,0,0,3,0,0,0,0
WBGene00017015,35,36,43,39,37,38,21,31,28,13,28,27
WBGene00017016,1407,1503,1538,1371,1410,1626,990,1530,1378,912,1216,1152
WBGene00017017,312,342,341,316,285,351,242,663,438,229,330,343
WBGene00017018,0,3,0,1,1,3,0,0,0,2,0,0
WBGene00017019,0,0,0,0,0,0,11,0,0,23,1,0
WBGene00017020,1,0,1,0,0,1,3,7,1,16,3,0
WBGene00017021,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017022,3,3,2,1,4,6,15,2,3,5,7,4
WBGene00017023,193,216,195,176,233,227,164,168,166,186,191,186
WBGene00017024,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00017025,575,638,705,510,487,690,528,586,539,360,502,452
WBGene00017026,10,6,6,18,9,8,93,39,26,97,28,36
WBGene00017027,63,55,45,52,46,52,38,79,57,111,66,59
WBGene00017028,138,170,235,82,119,211,48,24,30,46,30,35
WBGene00017029,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017030,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017031,1531,1500,1667,1281,1413,1883,1296,1420,1201,816,1165,1127
WBGene00017032,7,3,2,7,7,11,23,10,3,9,11,10
WBGene00017033,3,6,5,3,4,6,10,10,10,13,9,10
WBGene00017034,1,0,0,3,0,0,3,5,1,2,1,0
WBGene00017035,1,1,0,3,1,0,10,5,3,45,7,11
WBGene00017036,1,1,0,0,1,1,3,1,2,0,2,1
WBGene00017037,391,387,470,287,382,451,309,402,319,261,294,270
WBGene00017038,24,20,23,15,17,16,10,14,16,21,24,12
WBGene00017039,10,9,3,10,9,4,19,10,7,13,9,7
WBGene00017040,1,2,2,0,2,5,10,10,8,2,5,5
WBGene00017041,76,80,62,55,66,81,16,35,21,24,31,27
WBGene00017042,11,16,9,12,13,19,16,19,16,15,9,20
WBGene00017044,464,493,451,410,417,492,342,558,516,284,359,397
WBGene00017045,779,861,769,725,799,921,734,979,855,500,659,664
WBGene00017046,398,524,580,297,453,514,138,271,250,66,151,162
WBGene00017048,33,44,34,32,28,27,81,86,68,87,34,30
WBGene00017050,0,0,0,0,0,0,4,3,2,19,1,0
WBGene00017051,31,39,53,27,28,31,48,54,54,33,41,35
WBGene00017052,0,1,0,1,0,0,8,0,0,6,0,1
WBGene00017053,411,406,492,426,424,442,267,416,357,190,312,317
WBGene00017054,42,45,22,27,21,21,107,108,103,51,56,46
WBGene00017055,0,0,0,2,1,1,33,8,10,41,7,5
WBGene00017056,1,1,0,1,0,0,30,12,8,60,5,3
WBGene00017057,0,0,0,0,0,0,9,4,0,9,1,2
WBGene00017058,10,5,1,12,2,0,238,109,98,203,97,76
WBGene00017059,5,1,0,10,1,5,266,155,99,300,101,94
WBGene00017060,5,16,16,12,15,11,19,14,6,15,9,7
WBGene00017061,0,1,4,0,1,2,0,1,0,4,1,2
WBGene00017062,1124,1229,919,1169,1126,1220,921,1020,1145,1053,1180,1035
WBGene00017063,60,40,40,49,39,64,209,126,118,194,81,81
WBGene00017064,978,1096,1130,891,1045,1269,723,887,936,529,755,753
WBGene00017065,302,294,209,384,324,393,556,383,415,490,481,410
WBGene00017066,1530,1551,1912,1359,1435,1974,1229,1666,1349,729,1143,1071
WBGene00017068,1,0,1,2,0,0,5,0,0,20,2,3
WBGene00017069,46,42,41,37,25,40,69,122,85,48,47,59
WBGene00017070,789,1011,977,776,823,918,653,832,785,642,749,759
WBGene00017071,234,228,178,221,219,277,669,278,338,517,333,290
WBGene00017072,3,2,3,0,2,2,0,0,0,0,0,1
WBGene00017073,7,3,3,3,0,4,21,3,3,50,0,7
WBGene00017074,313,367,303,303,272,384,303,383,314,258,341,269
WBGene00017075,6472,7336,5742,5935,6206,7269,6719,6059,7333,7110,6260,6386
WBGene00017076,7,16,3,9,6,10,22,16,12,14,7,11
WBGene00017077,11,18,16,13,20,20,17,42,26,23,14,14
WBGene00017078,151,134,287,166,215,231,243,379,199,217,156,151
WBGene00017079,539,566,614,493,554,712,497,538,538,363,539,440
WBGene00017080,543,517,517,531,464,485,541,595,585,690,540,476
WBGene00017082,72,110,115,99,123,131,28,76,34,163,132,113
WBGene00017083,79,108,122,66,94,83,13,41,49,3,14,24
WBGene00017084,535,667,629,474,548,637,389,616,507,260,468,425
WBGene00017085,2797,3087,3565,2502,2892,3577,2236,3028,2788,1661,2307,2122
WBGene00017087,241,258,238,201,257,241,171,260,261,169,206,213
WBGene00017088,1752,2141,2004,1638,1817,2134,1375,1542,1550,925,1320,1367
WBGene00017089,39,43,50,44,44,61,88,74,62,38,64,89
WBGene00017090,6,3,0,2,0,2,0,0,1,0,0,1
WBGene00017091,9,11,10,10,9,10,26,39,21,35,35,19
WBGene00017092,0,3,0,1,1,2,3,7,1,6,2,3
WBGene00017093,80,150,165,54,49,88,28,32,31,49,18,31
WBGene00017094,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017095,1,0,0,0,0,1,0,0,0,1,0,0
WBGene00017096,1,0,0,0,0,0,0,1,0,0,0,0
WBGene00017097,0,0,1,0,0,0,1,0,0,1,0,0
WBGene00017098,2223,2574,2629,1976,2317,2772,1636,2101,2181,1375,1734,1611
WBGene00017099,2,0,0,0,0,0,0,0,0,3,0,0
WBGene00017100,3,1,2,1,1,1,4,8,5,2,0,1
WBGene00017101,218,273,259,213,245,310,265,380,328,251,280,290
WBGene00017102,8,7,0,4,3,4,23,11,14,15,10,11
WBGene00017103,42,41,35,32,31,47,67,57,49,41,28,45
WBGene00017104,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017105,75,111,92,63,112,81,19,23,27,20,22,25
WBGene00017106,3,1,0,2,2,1,0,1,2,0,0,1
WBGene00017107,0,0,2,0,0,0,0,0,0,0,0,0
WBGene00017108,221,191,173,295,295,309,177,212,155,507,340,271
WBGene00017109,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017110,0,0,2,0,0,0,0,1,1,0,0,0
WBGene00017111,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017112,19,6,2,30,2,6,696,245,207,1002,268,175
WBGene00017113,0,0,0,0,0,0,3,1,0,0,0,0
WBGene00017114,5,1,0,11,0,0,156,61,45,220,42,39
WBGene00017115,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017116,22,36,51,24,28,37,0,3,10,0,1,1
WBGene00017117,7,19,18,13,20,24,1,1,4,0,4,3
WBGene00017118,0,1,0,0,0,1,2,0,0,0,0,0
WBGene00017119,1273,1451,1399,1327,1273,1474,1136,1588,1473,1263,1326,1342
WBGene00017120,7,7,8,6,9,15,9,4,4,0,7,5
WBGene00017121,4278,4425,3364,4371,4306,4511,4978,5040,4817,6186,5294,4634
WBGene00017122,2,3,1,2,0,2,1,4,1,3,1,0
WBGene00017123,485,591,533,389,598,629,809,607,610,463,394,358
WBGene00017124,56,72,49,68,48,53,132,141,116,93,46,80
WBGene00017125,2025,2194,1977,1876,2185,2573,1998,2078,2051,1539,1875,1587
WBGene00017126,95,96,91,116,102,118,210,120,128,409,95,67
WBGene00017127,146,188,204,190,212,194,210,393,224,318,190,154
WBGene00017128,154,136,100,124,134,133,212,158,145,229,134,116
WBGene00017129,4,0,1,3,4,2,8,4,2,4,4,2
WBGene00017130,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00017131,39,47,53,22,48,77,64,102,65,34,32,26
WBGene00017132,1578,1754,1438,1523,1585,1766,1151,1528,1556,885,1274,1304
WBGene00017133,117,183,215,88,163,189,11,25,23,12,14,7
